0,1,2,3,4,5,6,7,8
개설학과,대상학년,과목번호,분반,과목명,정원,수강인원,학점/시수,담당교수
공과대학 전자공학과,1,1190-1002,07,미래설계상담2,60,48,0,유호영
공과대학 전자공학과,2,1190-2002,07,미래설계상담4,70,58,0,유호영
공과대학 전자공학과,3,1190-3002,04,미래설계상담6,60,39,0,유호영
공과대학 전자공학과,4,1190-4002,04,미래설계상담8,60,11,0,유호영
공과대학 전자공학과,1,1213-1001,00,선형대수,42,41,3,장윤선
공과대학 전자공학과,1,1213-1001,01,선형대수,42,39,3,박준민
공과대학 전자공학과,1,1213-1004,00,컴퓨터프로그래밍2,34,34,3,조동현
공과대학 전자공학과,1,1213-1004,03,컴퓨터프로그래밍2,35,35,3,조동현
공과대학 전자공학과,2,1213-2002,00,전기자기학2,40,37,3,김영담
공과대학 전자공학과,2,1213-2002,02,전기자기학2,41,39,3,김영담
공과대학 전자공학과,2,1213-2003,00,신호및시스템,45,35,3,황동환
공과대학 전자공학과,2,1213-2003,02,신호및시스템,45,43,3,장윤선
공과대학 전자공학과,2,1213-2004,00,물리전자,47,44,3,이희덕
공과대학 전자공학과,2,1213-2004,01,물리전자,43,39,3,이가원
공과대학 전자공학과,2,1213-2006,00,공학수학2,40,38,3,김철영
공과대학 전자공학과,2,1213-2006,02,공학수학2,40,35,3,김철영
공과대학 전자공학과,2,1213-2010,00,회로이론및실험2,35,31,3,안재혁
공과대학 전자공학과,2,1213-2010,01,회로이론및실험2,40,37,3,안재혁
공과대학 전자공학과,2,1213-2017,00,컴퓨터구조,39,36,3,유호영
공과대학 전자공학과,2,1213-2017,01,컴퓨터구조,39,31,3,유호영
공과대학 전자공학과,3,1213-3002,00,반도체공학,45,45,3,이가원
공과대학 전자공학과,3,1213-3002,02,반도체공학,42,39,3,이가원
공과대학 전자공학과,3,1213-3007,00,현대제어,50,11,3,황동환
공과대학 전자공학과,3,1213-3013,00,초고주파회로,50,50,3,김철영
공과대학 전자공학과,3,1213-3014,00,전자공학세미나,72,55,0,유호영
공과대학 전자공학과,3,1213-3015,00,마이크로프로세서응용설계,20,23,3,박준민
공과대학 전자공학과,3,1213-3015,01,마이크로프로세서응용설계,20,27,3,박준민
공과대학 전자공학과,3,1213-3016,00,전자공학실험,35,31,3,이희덕
공과대학 전자공학과,3,1213-3016,01,전자공학실험,35,35,3,고형호
공과대학 전자공학과,4,1213-4016,00,아날로그집적회로,30,15,3,박준은
공과대학 전자공학과,4,1213-4023,00,종합설계2,50,28,3,이가원
공과대학 전자공학과,4,1213-4023,02,종합설계2,50,40,3,유호영
공과대학 전자공학과,4,1213-4025,00,이동통신시스템,30,11,3,정방철
공과대학 전자공학과,1,1213-7001,00,대학생활과 진로설계,60,53,1,유호영
공과대학 선박해양공학과,1,1190-1002,11,미래설계상담2,40,35,0,정현
공과대학 선박해양공학과,2,1190-1004,00,유체역학,50,43,3,안병권
공과대학 선박해양공학과,1,1190-1005,00,정역학,40,39,3,김선제
공과대학 선박해양공학과,2,1190-2002,11,미래설계상담4,40,35,0,정현
공과대학 선박해양공학과,3,1190-3002,07,미래설계상담6,40,24,0,정현
공과대학 선박해양공학과,4,1190-4002,07,미래설계상담8,40,26,0,정현
